GlucoseDisplayTime	GlucoseValue
2021-06-04 09:00:00	89
2021-06-04 09:15:00	77
2021-06-04 09:30:00	72
2021-06-04 09:45:00	70
2021-06-04 10:00:00	71
2021-06-04 10:20:00	70
2021-06-04 10:25:00	76
2021-06-04 10:30:00	78
2021-06-04 10:45:00	80
2021-06-04 11:05:00	79
2021-06-04 11:15:00	95
2021-06-04 11:30:00	93
2021-06-04 11:45:00	104
2021-06-04 12:00:00	113
2021-06-04 12:15:00	104
2021-06-04 12:30:00	106
2021-06-04 12:45:00	110
2021-06-04 13:10:00	113
2021-06-04 13:15:00	112
2021-06-04 13:30:00	109
2021-06-04 13:45:00	102
2021-06-04 14:00:00	96
2021-06-04 14:15:00	93
2021-06-04 14:35:00	91
2021-06-04 14:45:00	92
2021-06-04 15:00:00	91
2021-06-04 15:15:00	92
2021-06-04 15:30:00	93
2021-06-04 15:45:00	109
2021-06-04 16:00:00	121
2021-06-04 16:15:00	130
2021-06-04 16:30:00	115
2021-06-04 16:45:00	113
2021-06-04 17:00:00	110
2021-06-04 17:15:00	107
2021-06-04 17:30:00	101
2021-06-04 17:45:00	97
2021-06-04 18:00:00	93
2021-06-04 18:15:00	92
2021-06-04 18:30:00	96
2021-06-04 18:50:00	85
2021-06-04 19:00:00	86
2021-06-04 19:15:00	89
2021-06-04 19:30:00	88
2021-06-04 19:45:00	92
2021-06-04 20:00:00	100
2021-06-04 20:15:00	106
2021-06-04 20:30:00	98
2021-06-04 20:45:00	93
2021-06-04 21:00:00	92
2021-06-04 21:15:00	88
2021-06-04 21:30:00	84
2021-06-04 21:45:00	85
2021-06-04 22:05:00	82
2021-06-04 22:20:00	79
2021-06-04 22:35:00	78
2021-06-04 22:50:00	79
2021-06-04 23:05:00	78
2021-06-04 23:20:00	82
2021-06-04 23:35:00	79
2021-06-04 23:50:00	70
